SHASM;shanghai-marriott-hotel-songjiang
ROMDS;g-rough-rome-a-member-of-design-hotels
BRECY;courtyard-bremen
AQAXN;ce-growth-test-hotel
LONHY;hyde-and-seek-london-hyde-park-a-tribute-portfolio-hotel
TYOHU;four-points-flex-tokyo-higashi-kanda
DENUS;woolleys-classic-suites
PARRN;residence-inn-paris-didot-montparnasse
BWINR;towneplace-suites-annapolis
MGACR;city-centro-la-recoleccion-nicaragua
MEXVJ;courtyard-mexico-city-vallejo
SATMA;marriott-san-antonio-airport
PHFNA;towneplace-suites-newport-news-airport
SMFNN;aloft-sacramento-airport-natomas
SOFBS;four-points-bansko
HKTJW;jw-marriott-phuket-resort-and-spa
SEAWF;seattle-marriott-waterfront
YVRBR;metropolitan-hotel-vancouver
WNZFP;four-points-qingtian
DXBZR;marriott-executive-apartments-sheikh-zayed-road-dubai
LASEX;excalibur-hotel-and-casino-mgm-collection
YHMBF;towneplace-suites-brantford-and-conference-centre
NCLDD;delta-hotels-durham-royal-county
ATLSD;springhill-suites-atlanta-downtown
CANHF;fairfield-guangzhou-huadu
AUACY;courtyard-aruba-resort
BOSNS;citizenm-boston-north-station
SAVRC;courtyard-richmond-hill
RIOCY;courtyard-rio-de-janeiro-barra-da-tijuca
PGVWF;fairfield-inn-and-suites-weldon
XIYMH;xian-marriott-hotel-high-tech-zone
FUONJ;four-points-foshan-jiujiang
SHAZR;marriott-executive-apartments-shanghai-zhangjiang
PARSD;courtyard-paris-saint-denis
AZOBR;residence-inn-battle-creek
RIOMC;jw-marriott-hotel-rio-de-janeiro
MXLPM;city-express-plus-mexicali
IAHAP;houston-airport-marriott-at-george-bush-intercontinental
HRGSI;sheraton-miramar-resort-el-gouna
MCISL;towneplace-suites-lees-summit
YLWWK;towneplace-suites-west-kelowna
CAECH;springhill-suites-camden
IAHSH;springhill-suites-houston-intercontinental-airport
BOSCS;sheraton-commander-hotel
SJOLS;los-suenos-marriott-ocean-and-golf-resort
PHXFO;fairfield-inn-and-suites-phoenix-west-chandler
YKAFI;fairfield-inn-and-suites-kamloops
LENPO;ac-hotel-ponferrada
FRADT;frankfurt-marriott-hotel
CHSEA;element-charleston-airport
MHGOU;four-points-flex-ostringen
HNLAK;the-laylow-autograph-collection
LAXCY;courtyard-los-angeles-lax-century-boulevard
ALCMM;denia-marriott-la-sella-golf-resort-and-spa
TIJXS;city-express-rosarito
DELMO;jim-corbett-marriott-resort-and-spa
IXJMC;katra-marriott-resort-and-spa
MCORP;marriotts-royal-palms
AQAFS;jw-marriott-fspms-test-hotel
KRKHP;h15-palace-a-luxury-collection-hotel-krakow
YMYMT;residence-inn-mont-tremblant-manoir-labelle
TGZJP;city-express-junior-tuxtla-gutierrez-poliforum
DALEF;fairfield-inn-and-suites-desoto-dallas-south
PARAL;ac-hotel-paris-le-bourget-airport
IXRCY;courtyard-ranchi
LGKWI;the-westin-langkawi-resort-and-spa
PMISI;sheraton-mallorca-arabella-golf-hotel
BOSCH;marriott-vacation-club-pulse-at-custom-house-boston
JAXBS;springhill-suites-jacksonville-beach-oceanfront
MSYEJ;the-eliza-jane-autograph-collection
GOAHW;hotel-windsor-a-member-of-design-hotels
THQFP;four-points-tianshui
PVRMI;marriott-playa-vallarta-an-all-inclusive-resort
BKKMR;montien-riverside-hotel-bangkok
GYESI;sheraton-guayaquil-hotel
AGPLD;grand-hotel-las-dunas-autograph-collection
SJDLC;solaz-a-luxury-collection-resort-los-cabos
BRUAK;cardo-brussels-autograph-collection
BOGFI;fairfield-bogota-embajada
BLLHF;four-points-flex-horsens
SHEFR;fairfield-shenyang-railway-station
PUJRB;royalton-bavaro-an-autograph-collection-all-inclusive-resort-and-casino
PPEXC;city-express-caborca
BSLND;nomad-design-and-lifestyle-hotel-a-member-of-design-hotels
FLLRP;renaissance-fort-lauderdale-west-hotel
YNZDF;fairfield-yancheng-dafeng
AMDLM;le-meridien-ahmedabad
GROFV;finca-victoria-a-member-of-design-hotels
YHZFP;four-points-halifax
MUCZR;residence-inn-munich-central
ASUAL;aloft-asuncion
STVRK;the-fern-vishranta-resort-kamrej-surat-series
BUSRH;rooms-batumi-a-member-of-design-hotels
WASWE;washington-marriott-georgetown
SATTD;towneplace-suites-san-antonio-downtown-riverwalk
FRAAS;sheraton-frankfurt-airport-hotel-and-conference-center
IAGIF;fairfield-niagara-falls-canada
CMNVS;villa-sahrai-a-member-of-design-hotels
YQGTT;towneplace-suites-tecumseh-windsor
SANMM;courtyard-san-diego-sorrento-valley
BERMH;the-mandala-berlin-a-member-of-design-hotels
EDIOC;old-town-chambers-autograph-collection
FLRXR;the-st-regis-florence
NYCFT;fairfield-inn-and-suites-new-york-manhattan-central-park
CAIBR;renaissance-cairo-mirage-city-hotel
LIMRA;aloft-lima-miraflores
HKGAK;the-park-lane-hong-kong-autograph-collection
GVACX;moxy-annecy
